09,10,m,mmmmnxmmmwm
06,08,w,wpwwhxnv
04,06,n,trwpnnnvq
12,15,p,zfpmpphpgghpppppppp
05,10,z,bqlbzfzzzbzwsz
07,15,m,mmkvmwmklnqpmggbgn
02,03,z,zzzzzz
09,11,f,fffffffffffff
08,10,l,lllfllllll
01,03,l,llll
02,09,m,mjmmmmmmmm
03,04,m,kmmm
02,11,f,fjdfffmffffrff
14,16,m,mmmmtmmmmmlmmmdmmm
01,05,k,kmvkkkkkq
05,07,g,mghggkgg
05,19,t,tdltgttttqmtjtjgxmp
05,07,r,rrrrrrsrrrrrrrrrrr
15,16,q,qqqqqqqqqqqqqqqqn
01,05,q,qqtpqk
12,13,t,qzgpttrtlttjd
04,12,q,jsvvqxtqhqqgntvvqqpq
13,17,f,ffffffffffffrfffff
14,15,r,rdxktqpprdrshdttg
08,10,t,ttpftttkppxttthhb
01,03,l,hlwlpnc
16,17,n,ntzqkmsnwtqjwtdnn
03,05,m,jcmxmnpfwmxvmdd
16,19,c,cmcccccckkccvcckzccc
06,09,g,gcgggggfgln
05,09,r,rrrkxrrrq
01,03,t,dxcsbvzrrtcfwrh
01,03,x,xpxdbrhd
02,03,m,mpfx
14,17,j,fcjjpjjnmjptnjmjj
04,05,x,xxxxr
10,13,n,nnnpnnnnntntjn
11,12,j,hzjkzgjjgjbvvjjhh
08,17,f,ffhrvbzxfzffhzznfcj
01,05,p,ppppppp
01,04,q,vqqnqjqqwm
03,08,r,rzrrrgtr
08,09,v,vvtnxvdvs
16,17,s,dspssssssscsssssssss
10,13,t,tttttttttttttt
01,03,s,dslp
03,06,w,wglwwxwwwwwww
01,06,p,nppppc
06,10,t,tttztstttbnft
08,13,j,cztwvjhjdmbbj
01,07,w,wwnwzwwbbwwwswwwwtw
07,17,q,qqqqqqbqqqqqqqqqq
04,11,v,vvvvbvvvvvrcvwvvvvv
08,13,d,dddddbhzdddddd
13,16,q,qqqqqnqqqqqqcqqw
05,06,m,mmmmnm
10,18,g,jdpgfxfqlgtcckxsrgn
03,04,b,bbgmb
12,14,l,lkklrcllxlllllk
06,07,h,kvxlzrvmd
03,04,b,kbbg
03,05,v,glgvs
03,06,x,xxxxxxx
01,02,z,zzfnb
05,06,b,bqbbbx
03,05,j,wjvsf
03,08,x,fxxxkxxbxhxnx
11,12,s,vsssspcmqsbzsssss
03,04,v,nvvvc
09,10,p,pppppppppp
07,08,l,pfclnccfn
14,17,c,jcrjhgcccccnsccpc
03,04,p,pjgcpxt
04,08,l,wvlrptdftlpw
06,10,f,hdnffrxfrf
02,05,s,ssssj
10,13,x,xvlcrccxxxbxh
03,04,w,wwwdw
09,15,g,gggggggggggggggg
10,11,f,flxvfffffwqk
05,06,l,lllltvlll
08,09,t,vpdrntgdr
11,12,c,bpxsnvhvfcprpwz
07,08,f,wpgfvvzb
02,06,p,dmccpk
07,11,d,kwdblcxdrmr
03,04,g,ggfzgggg
07,09,h,hhhzcvdnz
04,08,l,ttljxlxlw
12,15,x,xtwwxxxcxxxxxxsx
10,13,d,ddbhkdddddddd
01,04,j,jjvtmc
08,11,b,bbxcrjbmnnbmxfq
03,04,h,hhhh
05,07,n,nnnqwvgn
03,05,q,qxlqvqq
04,09,k,kkkkkkkkkkk
05,08,p,spppxppwpppprppp
03,12,q,qtkqqpqtqqqqqqqqqqq
16,17,x,xzhxxxxxqnxmhxxpd
12,15,q,rsrhzrghndsqslqnp
02,06,z,rzzpzz
02,04,m,mmbm
04,05,g,gfgfq
01,06,t,stttsh
04,05,h,hlhnm
12,13,d,dddddddddddpd
09,10,h,ghhhhhhhkchh
10,15,r,rvgxrrcrrwrrrrtlrrr
05,10,l,qltclnnblcrlv
11,17,p,ppqpppvjbrpppqpppjw
09,12,g,xghzsgmkggtg
13,15,t,jtdkhqttstxbztstt
14,18,c,chcvxpcxccxckhcddh
12,14,d,ddddddddsddddd
04,08,l,rsdllblllxl
04,09,m,xmrzbmrmhbsm
02,03,s,ptcp
05,08,p,mtxhpvkpkrzhhjxpp
04,06,w,wwwdwj
04,06,w,wwwlwf
06,07,l,zllntlr
10,14,d,dqdddddddndddvddd
02,06,f,dfpjwfgrfwlsc
03,05,n,lnnxvq
04,19,b,bbbbqbbbbbbjbbbsbbbb
04,12,s,mmlmthslfcnnrwkh
02,07,d,ddddddd
03,07,j,kpjwjjj
07,08,p,pcmchppp
04,07,f,fffvffgf
04,07,d,ddmdfcv
13,14,w,wjwmwwxwfmpdpf
05,07,d,ddrdmsh
04,05,r,rrrrrr
04,05,g,ngsvg
07,13,g,gggggggfggggggjg
06,10,m,hbsqkpmfzss
08,10,p,kppkdpptpmpnpl
03,04,l,llll
11,12,s,ssssssssssqksq
15,16,d,gdmdwdrzdkctddzv
07,13,d,ddddddddqdddjd
07,08,t,tdtdrglm
03,06,s,sskssz
02,03,n,nbnmrnxxfwqbdh
01,04,l,wlxlllllllllllnpl
07,08,v,khcxvvfd
14,15,j,jjjjjjjjjjjjjbf
01,07,n,ndncltg
01,05,l,dllzmg
03,04,p,zpzmp
01,06,b,sbbbsb
11,13,x,twcxxxxcxxxxd
03,04,r,rrrtv
01,09,z,kzvlzlnznzlhbdp
05,11,q,qfbqbqnsjds
04,05,b,wcjbb
02,04,b,bdbn
03,12,g,zftzmsbsjgggw
11,14,h,hkhhhdhhhdfhhhh
